id,coder,Poziția partidului,Nivel de încredere
1) UE ar trebui să înființeze o armată europeană.,c1,Nici de acord nici împotrivă,Destul de sigur
2) UE ar trebui să colecteze taxe pe cont propriu.,c1,Nici de acord nici împotrivă,Destul de sigur
"3) În general, apartanența la UE a fost un lucru bun pentru România.",c1,Total de acord,Foarte sigur
4) Responsabilitatea pentru regulile de azil și de alocare a refugiaților ar trebui transferate la nivel european.,c1,Nici de acord nici împotrivă,Destul de sigur
5) Sancțiunile împotriva Rusiei ar trebui extinse chiar dacă ar duce la costuri pentru economia României.,c1,Total de acord,Foarte sigur
6) Dreptul cetățenilor europeni de a lucra în România ar trebui restrâns.,c1,Împotrivă,Destul de sigur
7) România nu ar trebui niciodată să adopte moneda Euro.,c1,Împotrivă,Foarte sigur
8) UE ar trebui să aibă dreptul să intervină în treburile interne ale României oricând simte că există o amenințare la adresa democrației.,c1,De acord,Destul de sigur
9) Statul ar trebui să redistribuie în mod activ bogăția de la cei bogați către cei săraci.,c1,Total de acord,Foarte sigur
10) Privatizarea duce la servicii publice de mai bună calitate.,c1,Împotrivă,Foarte sigur
11) Statul ar trebui să intervină cât mai puțin în economie.,c1,Împotrivă,Foarte sigur
12) Numărul angajaților din sectorul public ar trebui redus.,c1,Nici de acord nici împotrivă,Destul de sigur
13) Cetățenii mai săraci ar trebui să plătească taxe mai mici.,c1,Total de acord,Foarte sigur
14) Prezența companiilor străine în economia României este bună pentru țară.,c1,De acord,Foarte sigur
15) Protejarea mediului este mai importantă decât dezvoltarea economiei.,c1,De acord,Foarte sigur
16) Efectele încălzirii globale provocate de oameni au fost exagerate.,c1,De acord,Foarte sigur
17) Legislația care promovează egalitatea de gen a mers prea departe.,c1,Nici de acord nici împotrivă,Destul de sigur
18) Cuplurile homosexuale ar trebui să se bucure de aceleași drepturi precum cuplurile heterosexuale.,c1,De acord,Destul de sigur
19) România ar trebui să fie mai critică față de guvernul Israelului în legătură cu conflictul din Gaza.,c1,Total împotrivă,Foarte sigur
20) Imigrația subminează valorile culturale ale României.,c1,Împotrivă,Destul de sigur
21) Femeile ar trebui să fie libere să decidă în chestiunile legate de avort.,c1,De acord,Foarte sigur
"22) Pentru a preveni infracțiuni grave, statul trebuie să aibă dreptul de a monitoriza felul în care oamenii folosesc internetul.",c1,Nici o opinie,Destul de sigur
23) Minoritățile naționale ar trebui să aibă dreptul la educație exclusiv în limba maternă.,c1,Nici de acord nici împotrivă,Destul de sigur
24) România ar trebui să susțină cât de mult posibil Ucraina în conflictul cu Rusia.,c1,De acord,Foarte sigur
1) UE ar trebui să înființeze o armată europeană.,c6,De acord,Destul de sigur
2) UE ar trebui să colecteze taxe pe cont propriu.,c6,De acord,Deloc sigur
"3) În general, apartanența la UE a fost un lucru bun pentru România.",c6,Total de acord,Foarte sigur
4) Responsabilitatea pentru regulile de azil și de alocare a refugiaților ar trebui transferate la nivel european.,c6,Împotrivă,Deloc sigur
5) Sancțiunile împotriva Rusiei ar trebui extinse chiar dacă ar duce la costuri pentru economia României.,c6,De acord,Destul de sigur
6) Dreptul cetățenilor europeni de a lucra în România ar trebui restrâns.,c6,Împotrivă,Foarte sigur
7) România nu ar trebui niciodată să adopte moneda Euro.,c6,Total împotrivă,Foarte sigur
8) UE ar trebui să aibă dreptul să intervină în treburile interne ale României oricând simte că există o amenințare la adresa democrației.,c6,Nici o opinie,Destul de sigur
9) Statul ar trebui să redistribuie în mod activ bogăția de la cei bogați către cei săraci.,c6,Împotrivă,Foarte sigur
10) Privatizarea duce la servicii publice de mai bună calitate.,c6,De acord,Destul de sigur
11) Statul ar trebui să intervină cât mai puțin în economie.,c6,De acord,Foarte sigur
12) Numărul angajaților din sectorul public ar trebui redus.,c6,Total de acord,Foarte sigur
13) Cetățenii mai săraci ar trebui să plătească taxe mai mici.,c6,Împotrivă,Foarte sigur
14) Prezența companiilor străine în economia României este bună pentru țară.,c6,De acord,Deloc sigur
15) Protejarea mediului este mai importantă decât dezvoltarea economiei.,c6,De acord,Foarte sigur
16) Efectele încălzirii globale provocate de oameni au fost exagerate.,c6,Împotrivă,Destul de sigur
17) Legislația care promovează egalitatea de gen a mers prea departe.,c6,Împotrivă,Destul de sigur
18) Cuplurile homosexuale ar trebui să se bucure de aceleași drepturi precum cuplurile heterosexuale.,c6,Împotrivă,Destul de sigur
19) România ar trebui să fie mai critică față de guvernul Israelului în legătură cu conflictul din Gaza.,c6,Împotrivă,Destul de sigur
20) Imigrația subminează valorile culturale ale României.,c6,De acord,Foarte sigur
21) Femeile ar trebui să fie libere să decidă în chestiunile legate de avort.,c6,Împotrivă,Destul de sigur
"22) Pentru a preveni infracțiuni grave, statul trebuie să aibă dreptul de a monitoriza felul în care oamenii folosesc internetul.",c6,De acord,Destul de sigur
23) Minoritățile naționale ar trebui să aibă dreptul la educație exclusiv în limba maternă.,c6,Nici de acord nici împotrivă,Deloc sigur
24) România ar trebui să susțină cât de mult posibil Ucraina în conflictul cu Rusia.,c6,Total de acord,Foarte sigur
1) UE ar trebui să înființeze o armată europeană.,c5,De acord,Destul de sigur
2) UE ar trebui să colecteze taxe pe cont propriu.,c5,Nici o opinie,Destul de sigur
"3) În general, apartanența la UE a fost un lucru bun pentru România.",c5,Total de acord,Foarte sigur
4) Responsabilitatea pentru regulile de azil și de alocare a refugiaților ar trebui transferate la nivel european.,c5,Împotrivă,Foarte sigur
5) Sancțiunile împotriva Rusiei ar trebui extinse chiar dacă ar duce la costuri pentru economia României.,c5,De acord,Destul de sigur
6) Dreptul cetățenilor europeni de a lucra în România ar trebui restrâns.,c5,De acord,Destul de sigur
7) România nu ar trebui niciodată să adopte moneda Euro.,c5,Împotrivă,Destul de sigur
8) UE ar trebui să aibă dreptul să intervină în treburile interne ale României oricând simte că există o amenințare la adresa democrației.,c5,Nici de acord nici împotrivă,Deloc sigur
9) Statul ar trebui să redistribuie în mod activ bogăția de la cei bogați către cei săraci.,c5,Nici de acord nici împotrivă,Deloc sigur
10) Privatizarea duce la servicii publice de mai bună calitate.,c5,De acord,Deloc sigur
11) Statul ar trebui să intervină cât mai puțin în economie.,c5,De acord,Foarte sigur
12) Numărul angajaților din sectorul public ar trebui redus.,c5,De acord,Foarte sigur
13) Cetățenii mai săraci ar trebui să plătească taxe mai mici.,c5,Împotrivă,Destul de sigur
14) Prezența companiilor străine în economia României este bună pentru țară.,c5,Total de acord,Foarte sigur
15) Protejarea mediului este mai importantă decât dezvoltarea economiei.,c5,Nici de acord nici împotrivă,Deloc sigur
16) Efectele încălzirii globale provocate de oameni au fost exagerate.,c5,Împotrivă,Foarte sigur
17) Legislația care promovează egalitatea de gen a mers prea departe.,c5,Total împotrivă,Destul de sigur
18) Cuplurile homosexuale ar trebui să se bucure de aceleași drepturi precum cuplurile heterosexuale.,c5,Împotrivă,Destul de sigur
19) România ar trebui să fie mai critică față de guvernul Israelului în legătură cu conflictul din Gaza.,c5,Împotrivă,Destul de sigur
20) Imigrația subminează valorile culturale ale României.,c5,Împotrivă,Destul de sigur
21) Femeile ar trebui să fie libere să decidă în chestiunile legate de avort.,c5,De acord,Destul de sigur
"22) Pentru a preveni infracțiuni grave, statul trebuie să aibă dreptul de a monitoriza felul în care oamenii folosesc internetul.",c5,De acord,Foarte sigur
23) Minoritățile naționale ar trebui să aibă dreptul la educație exclusiv în limba maternă.,c5,Nici o opinie,Destul de sigur
24) România ar trebui să susțină cât de mult posibil Ucraina în conflictul cu Rusia.,c5,De acord,Destul de sigur
